ZTF20aatvzmm 0.031510 Ia
58987.1662963 2 19.3679 0.133215
58981.2228472 2 19.2794 0.168252
58978.2370602 2 19.0753 0.139234
58975.1557986 2 18.8923 0.0947937
58972.1648032 2 18.6492 0.0785854
58969.1776736 2 18.3758 0.215606
58966.1751273 2 18.0852 0.049831
58955.2188079 2 17.6073 0.0407771
58944.1639236 2 17.2291 0.0357786
58941.2039583 2 17.4489 0.0546018
58939.1520718 2 17.7675 0.0531986
58938.1737037 2 17.9421 0.055026
