ZTF19abmpoxa 0.063000 Ia
58749.2925231 2 20.1971 0.213106
58736.3772685 2 19.3163 0.144785
58733.3964236 2 19.0729 0.102067
58726.3762037 2 18.9038 0.0983529
58723.3758912 2 18.8643 0.0776407
58720.3895718 2 18.6154 0.0906085
58717.4607986 2 18.4073 0.119156
58714.4301157 2 18.1839 0.0989608
58711.3969097 2 18.2733 0.0878961
