ZTF20aaqtebg 0.035500 Ia
58965.3237616 2 19.0419 0.133963
58964.2852662 2 19.1784 0.145632
58962.3072338 2 19.1656 0.159835
58956.3094097 2 18.8313 0.121571
58955.4224074 2 18.8239 0.104518
58954.4560185 2 18.9522 0.144832
58943.4653009 2 18.1886 0.0805269
58941.4231597 2 18.0877 0.0738724
58941.4024074 2 18.0768 0.0731417
58939.3822222 2 18.0825 0.0984923
58936.4560185 2 17.9625 0.062168
58936.4365509 2 17.8539 0.0545896
58914.5090394 2 17.1185 0.0408145
58914.5080903 2 17.1151 0.0641877
58911.4777546 2 17.2942 0.0619984
58911.4617477 2 17.2431 0.0588452
58908.5001273 2 17.5685 0.128441
58908.5001273 2 17.5685 0.128441
58906.5049537 2 18.1328 0.078271
58904.4973727 2 18.7167 0.089584
58903.498287 2 18.9937 0.113032
