ZTF19acxhkvc 0.060000 Ia
58874.1335301 2 20.2448 0.211875
58861.1625579 2 20.004 0.180756
58859.1941088 2 19.9911 0.243017
58856.1823843 2 19.6064 0.151684
58855.2018866 2 19.6843 0.216257
58854.1804282 2 19.6492 0.248106
58852.1874421 2 19.793 0.16315
58852.1756713 2 19.7039 0.161637
58850.1197222 2 19.7507 0.221451
58849.180625 2 19.511 0.113437
58849.1586343 2 19.6017 0.118239
58846.1351157 2 19.5193 0.168779
58836.4250231 2 19.0754 0.116638
58833.2818403 2 18.9986 0.126991
58833.2170602 2 19.0127 0.126507
58830.3122338 2 18.8082 0.101701
58830.2474537 2 18.8021 0.0830429
58828.3282523 2 18.7637 0.103782
58827.2494329 2 18.8334 0.122171
