ZTF20aaurknv 0.057280 Ia
58986.2956597 2 19.0281 0.0526478
58985.3818866 2 18.9539 0.03922
58983.3625926 2 18.8779 0.0451011
58980.3070833 2 18.8125 0.0571068
58975.3991898 2 18.7615 0.0856437
58974.3398958 2 18.7072 0.0704997
58973.3511343 2 18.6774 0.0607751
58972.4194792 2 18.6347 0.0471499
58971.3986921 2 18.5539 0.0740181
58970.4109954 2 18.5174 0.0275198
58968.3967014 2 18.3784 0.0263512
58968.3943171 2 18.3585 0.0218868
58967.3849537 2 18.323 0.0300885
58966.393206 2 18.2542 0.0247448
58965.4394213 2 18.2335 0.0276147
58964.4246528 2 18.1741 0.0254732
58956.3488426 2 18.1944 0.0468845
58955.4373727 2 18.2005 0.0344726
