ZTF19aazlsfj 0.070000 Ia
58697.3985185 2 20.2527 0.178408
58694.3866204 2 20.0818 0.206137
58691.3919676 2 19.97 0.138651
58688.3968519 2 19.9488 0.228659
58685.4182523 2 19.5687 0.183291
58680.315787 2 19.2243 0.162355
58677.29375 2 19.2525 0.138685
58674.4610417 2 19.1767 0.12032
58668.3751736 2 18.9014 0.0990145
58661.4226505 2 18.4716 0.0760134
58658.4166667 2 18.579 0.0852434
58653.4397801 2 18.6704 0.097449
58650.4226852 2 19.2004 0.170716
