ZTF20aaljgcp 0.080000 Ia
58912.5158449 1 20.3409 0.190572
58911.4209375 1 19.9234 0.163818
58908.321875 1 19.759 0.141428
58906.3278356 1 19.5835 0.14895
58904.4539583 1 19.3262 0.114678
58903.3618634 1 19.3149 0.109311
58899.4254977 1 18.8031 0.082106
58898.4520718 1 18.856 0.0664891
58895.5259028 1 18.5942 0.0746576
58894.3416435 1 18.6601 0.0677934
58893.4942014 1 18.5543 0.0724259
58892.3669792 1 18.602 0.103596
58891.4668287 1 18.6384 0.103139
58890.5121528 1 18.48 0.131958
58886.4908449 1 18.8621 0.100537
58885.453669 1 19.1082 0.126577
58884.4282407 1 19.228 0.13156
58883.4911343 1 19.391 0.140433
58880.4912616 1 20.4051 0.208355
