ZTF19acypppb 0.073000 Ia
58862.2262037 2 20.0039 0.201257
58861.170081 2 19.8144 0.240257
58860.1609491 2 19.761 0.335898
58859.2265741 2 19.9591 0.330483
58859.2030093 2 19.8308 0.250083
58852.1800116 2 19.6007 0.138866
58852.1701852 2 19.6373 0.171093
58849.1722106 2 19.4628 0.117225
58846.2571412 2 19.361 0.117067
58836.4223032 2 19.343 0.148729
58833.2458912 2 19.8044 0.170014
58833.2245139 2 19.7078 0.236779
