ZTF19aajxhwa 0.033000 Ia
58567.1645255 1 19.3079 0.119967
58562.1830093 1 19.1772 0.262027
58560.1858449 1 18.6856 0.198781
58558.1307292 1 18.7627 0.134241
58557.1516204 1 18.3954 0.156201
58547.2257755 1 17.5774 0.0519421
58542.1370718 1 17.4962 0.0498025
58542.1366088 1 17.436 0.0430308
58538.170706 1 17.3459 0.104074
58534.1867477 1 17.5419 0.0652262
58534.1862963 1 17.5589 0.0884156
