ZTF18acptgzz 0.090000 Ia
58490.1690394 2 20.154 0.16858
58487.2375116 2 20.2431 0.180717
58466.318287 2 19.3403 0.189738
58462.311875 2 19.2499 0.171007
58462.3100463 2 19.1914 0.162737
58456.2743866 2 18.9039 0.0811012
58456.2739352 2 18.9312 0.0688184
58456.2494213 2 18.8904 0.1179
58456.2320602 2 18.9893 0.110817
58450.3744213 2 18.9458 0.091063
58447.3982292 2 19.0065 0.166357
58441.3557407 2 19.5604 0.181468
