ZTF19aaxibpz 0.071000 Ia
58675.4463657 1 20.3261 0.201251
58665.4761458 1 19.3235 0.1075
58661.4769907 1 18.9779 0.103928
58658.4656597 1 18.7381 0.106621
58653.379456 1 18.4103 0.126867
58650.4796065 1 18.237 0.0847001
58647.468831 1 18.3054 0.225267
58644.4438542 1 18.258 0.0544594
58641.4435069 1 18.4818 0.0704973
58638.4462384 1 18.9838 0.0948015
