ZTF18abfgygp 0.070000 Ia
58364.2202894 1 20.7545 0.213865
58348.3427894 1 19.983 0.20279
58346.3276389 1 19.8312 0.165296
58345.1846065 1 19.758 0.127751
58343.1770023 1 19.5978 0.189903
58338.1781829 1 19.027 0.101547
58338.1767593 1 19.0991 0.147073
58332.2249769 1 18.5404 0.0779552
58332.2036227 1 18.5437 0.111075
58329.4123032 1 18.3643 0.0999565
58323.4118981 1 18.0479 0.0609383
58323.3928125 1 18.0213 0.0652349
58320.4290741 1 18.0565 0.0712126
58317.366794 1 18.1392 0.0666727
58317.3447801 1 18.1511 0.0700902
58314.3473032 1 18.3724 0.0659956
58314.3255093 1 18.3918 0.0705963
58311.3483681 1 18.8586 0.0985697
58308.2204514 1 19.8187 0.162809
