ZTF20aaophpu 0.017340 II
58944.1855324 2 18.4825 0.0981288
58938.1718403 2 18.4834 0.0663345
58917.1601505 2 18.3488 0.162329
58912.1921065 2 18.5241 0.0653694
58906.1926042 2 18.4691 0.073185
58903.1923264 2 18.5276 0.0653203
58900.185625 2 18.4069 0.089959
58899.3090972 2 18.8191 0.063152
58898.3012963 2 19.1316 0.13405
