ZTF19acryurj 0.022000 II
58882.1160185 1 20.123 0.249035
58874.159375 1 19.4361 0.143588
58871.1640046 1 19.4528 0.148386
58867.1420139 1 19.0499 0.162416
58864.1435185 1 19.074 0.107192
58862.1119329 1 18.9418 0.083007
58859.0949306 1 18.8534 0.142732
58855.1538079 1 18.7289 0.103916
58852.1086806 1 18.5438 0.081024
58850.1595949 1 18.4842 0.052117
58849.120787 1 18.4946 0.0487567
58849.1056481 1 18.4555 0.0572856
58833.1402083 1 17.8334 0.0593916
58830.1750579 1 17.6779 0.0600748
58820.1641898 1 17.3435 0.0689831
58819.2127083 1 17.3042 0.043413
58819.1844676 1 17.2041 0.0589975
58814.1130093 1 17.1712 0.107788
58813.1801505 1 17.1663 0.0425404
58811.1926157 1 17.1488 0.047714
58801.2009722 1 18.1599 0.0828585
