ZTF20aaxccrm 0.090000 Ia
58987.4064005 1 18.8748 0.067986
58987.405463 1 18.8334 0.0754623
58980.4195486 1 18.6055 0.0776217
58979.4310185 1 18.5508 0.119735
58976.4567361 1 18.5693 0.124997
58973.4618403 1 18.925 0.0987423
58973.4422801 1 19.0157 0.125639
58970.4431019 1 19.4748 0.114282
58970.4426389 1 19.3835 0.102863
58967.4371875 1 20.2764 0.158822
