ZTF19aamhlnl 0.076000 Ia
58605.3775231 2 20.257 0.201117
58586.377419 2 19.4249 0.133191
58583.3346065 2 19.2923 0.123424
58580.4795139 2 19.1383 0.131998
58575.4125231 2 18.9979 0.0906313
58572.479213 2 18.7611 0.100835
58568.5004167 2 18.5691 0.0820858
58560.4196644 2 18.904 0.106849
58556.5031481 2 19.6761 0.162086
