ZTF19acyplkt 0.031000 Ia
58913.1493056 2 19.2022 0.173997
58905.1756134 2 19.2759 0.257368
58894.1409491 2 18.7538 0.0721628
58891.127419 2 18.5977 0.0716406
58885.1605671 2 18.3319 0.134553
58881.1062153 2 18.1847 0.0763077
58875.1987037 2 18.1064 0.053217
58872.1444097 2 18.1838 0.0566848
58862.1945833 2 18.2259 0.052859
58861.2146875 2 18.2137 0.065699
58860.2065509 2 18.2133 0.125314
58859.2052662 2 18.2314 0.072928
58854.1689005 2 18.1986 0.154439
58837.2382523 2 17.6256 0.0575846
58833.3489005 2 18.3827 0.0809005
58833.240787 2 18.5985 0.0980846
