ZTF20aaqgmji 0.080000 Ia
58915.3805208 2 19.3294 0.161324
58914.3396644 2 19.3287 0.152695
58913.2337847 2 19.306 0.133602
58913.2289468 2 19.2888 0.152841
58912.4027778 2 19.2592 0.110813
58911.248125 2 19.3538 0.186357
58909.3166204 2 19.3787 0.107518
58906.2337731 2 19.5252 0.158989
58905.2336574 2 19.6034 0.192924
58903.393831 2 19.9072 0.154905
58900.2572917 2 20.3031 0.237367
58899.2968403 2 20.5056 0.291474
58898.3376736 2 20.9974 0.307127
