ZTF19abhibzk 0.059600 Ia-91bg
58724.4055208 2 19.9658 0.150981
58718.4740509 2 19.6411 0.143904
58715.3725463 2 19.5236 0.15391
58712.4294444 2 19.3744 0.140106
58706.4085995 2 19.2273 0.0796428
58703.4310764 2 19.0647 0.0804052
58700.4484259 2 18.8186 0.0737122
58697.4080787 2 18.755 0.0659886
58694.4062153 2 18.7931 0.0732304
58691.4032523 2 18.8799 0.0733553
58688.4039352 2 19.2722 0.101659
