ZTF19abpgggu 0.049100 Ia
58756.4379977 1 20.636 0.191098
58749.323206 1 20.2561 0.171358
58739.5186343 1 19.2443 0.171645
58736.4822801 1 19.017 0.0667065
58730.4678819 1 18.5157 0.0418171
58727.4178356 1 18.34 0.0432153
58724.4366898 1 18.2092 0.0314583
58718.4404282 1 18.1683 0.052593
58715.5059954 1 18.3924 0.0948641
58712.4603704 1 18.7324 0.0852669
58709.4971759 1 19.4714 0.120286
