ZTF19aaoikti 0.078680 Ia
58612.2615394 1 20.0654 0.116691
58609.2184606 1 19.6867 0.112075
58606.3925347 1 19.5043 0.105183
58601.2489583 1 19.6607 0.118813
58601.2442824 1 19.0468 0.084219
58597.2761343 1 18.6897 0.0683415
58594.2218287 1 18.5055 0.0793648
58584.273912 1 18.3924 0.0595085
58580.2613657 1 18.6903 0.0714443
58575.2868403 1 19.7747 0.126182
