ZTF20aanvsds 0.075000 Ia
58944.5093056 2 20.0454 0.216395
58943.4931597 2 19.9049 0.282749
58936.5140856 2 19.5301 0.166273
58915.5290509 2 18.7934 0.10562
58914.5265394 2 18.7658 0.10367
58913.496875 2 18.7644 0.098214
58912.4953819 2 18.637 0.078984
58911.5101968 2 18.659 0.0834952
58908.5106366 2 18.5851 0.0924774
58908.5106366 2 18.5851 0.092477
58906.5146296 2 18.5165 0.117293
58904.5274537 2 18.6083 0.120036
58903.5168287 2 18.6285 0.0779179
58900.5066088 2 18.9146 0.131908
58899.5089699 2 18.954 0.108386
58898.5315394 2 19.1301 0.154433
58894.5372106 2 19.7768 0.197879
