ZTF19aczrmvs 0.080000 Ia
58876.1458565 1 20.9241 0.31382
58871.2055093 1 20.5078 0.270286
58867.201794 1 20.1999 0.180036
58867.1994907 1 20.0757 0.191277
58863.1506019 1 19.6587 0.124738
58860.1247222 1 19.6226 0.228171
58853.1108218 1 18.7713 0.155572
58850.1808565 1 18.861 0.0897543
58846.2313079 1 18.8257 0.0966147
58836.2207292 1 19.568 0.13697
