ZTF20aahkgcz 0.041130 Ia
58915.2034144 1 19.1639 0.13639
58912.1622801 1 18.8875 0.1026
58909.2279977 1 18.584 0.089382
58906.2691435 1 18.2452 0.072701
58903.2639005 1 17.944 0.0523223
58898.2644329 1 17.53 0.0467801
58896.2415394 1 17.4048 0.0510496
58895.2157292 1 17.3343 0.0461807
58894.2010532 1 17.3109 0.045131
58893.2275579 1 17.2455 0.0389594
58892.177963 1 17.2371 0.0441343
58891.2064468 1 17.2413 0.0392898
58890.2651736 1 17.1894 0.0438609
58888.2676042 1 17.2042 0.0447983
58887.2342245 1 17.251 0.047152
58886.2379051 1 17.2618 0.061995
58885.2830903 1 17.2363 0.0616806
58884.2816667 1 17.3393 0.0501847
58883.4089931 1 17.4204 0.0521918
58881.2388542 1 17.591 0.0521335
58880.265463 1 17.7432 0.0509556
58879.2579861 1 17.9009 0.0727005
58878.2653704 1 18.1297 0.0826655
58877.2417824 1 18.3764 0.0740884
58876.2164236 1 18.6995 0.0849794
58876.2164236 1 18.6975 0.085265
58875.3271875 1 19.1216 0.117618
58874.3633449 1 19.4482 0.102505
58873.3464583 1 20.1069 0.221917
58872.2425231 1 20.42 0.251126
