ZTF19ababmsi 0.060000 Ia
58749.3003588 2 20.4875 0.216235
58736.4339931 2 20.386 0.194395
58730.4222454 2 20.3727 0.189019
58727.4839236 2 20.2154 0.161358
58724.4167361 2 20.1278 0.1739
58718.4617245 2 19.9875 0.20466
58715.4223958 2 19.8418 0.190743
58712.425625 2 19.6303 0.17688
58706.4988889 2 19.4277 0.0873775
58703.4421528 2 19.3788 0.109686
58700.4428935 2 19.2415 0.0933048
58697.4243866 2 19.0201 0.0660534
58694.4121412 2 18.8898 0.0715312
58691.4335301 2 18.8783 0.0875042
58688.4346296 2 18.7849 0.0858513
58688.4346296 2 18.7849 0.085851
58685.4463889 2 18.6109 0.0938869
58682.426956 2 18.5424 0.0760952
58679.4704282 2 18.5055 0.0772438
58676.4664931 2 18.3943 0.0606122
58673.4507292 2 18.2285 0.0707577
58670.4757639 2 18.0403 0.0642722
58667.4772454 2 17.9565 0.0521084
58655.4472801 2 18.2905 0.0884068
58652.4524884 2 18.576 0.119452
