ZTF20aadvbni 0.106000 Ia
58876.1993519 1 20.3561 0.161291
58867.2185301 1 19.7986 0.140105
58867.2143056 1 19.8055 0.15517
58864.1797106 1 19.8059 0.140964
58864.1745023 1 19.8787 0.145366
58864.1707523 1 19.7277 0.141704
58864.1655324 1 19.8014 0.149102
58861.1118171 1 19.7973 0.205604
58854.4927431 1 20.3539 0.323819
58854.4913657 1 20.2714 0.396752
58853.4514815 1 20.731 0.209453
58852.4681597 1 21.2485 0.294933
