ZTF19acxlylb 0.050000 Ia
58852.5529861 2 18.7511 0.116469
58849.4427894 2 18.5223 0.0798896
58846.4689815 2 18.4244 0.0612513
58836.5088889 2 18.0179 0.0704073
58833.4903935 2 17.7944 0.0805637
58833.4903935 2 17.7482 0.0762844
58833.4469676 2 17.7492 0.080921
58830.4554398 2 17.6431 0.0546634
58827.4425463 2 17.7167 0.0872315
