ZTF20aambbfn 0.043900 Ia
58912.4045833 2 18.942 0.110571
58906.2416898 2 19.1458 0.120751
58903.3900579 2 18.9991 0.0958273
58900.2358681 2 18.6392 0.107303
58899.3446181 2 18.7089 0.104319
58899.2759375 2 18.5679 0.068916
58896.3085417 2 18.3174 0.0822238
58896.3037269 2 18.3622 0.07537
58895.2794792 2 18.3168 0.0748178
58894.2800694 2 18.3019 0.0762617
58893.3303009 2 18.3767 0.0876581
58893.2829167 2 18.3687 0.0816239
58893.2810417 2 18.4193 0.0863199
58891.3308681 2 18.3632 0.0807626
58890.4237384 2 18.4303 0.130186
58890.4219097 2 18.3159 0.118792
58888.4224537 2 18.6445 0.136803
58886.3065741 2 18.7139 0.100063
