ZTF19abqyoxt 0.020000 II
58830.2201273 1 19.5342 0.251443
58811.4324306 1 19.6037 0.122695
58805.4929282 1 19.4271 0.14862
58793.5294213 1 19.4383 0.0915523
58790.5369676 1 19.3075 0.104295
58787.4232176 1 19.3875 0.138338
58784.4662963 1 19.3516 0.132015
58778.5100463 1 19.3474 0.127019
58775.4289583 1 19.136 0.111313
58769.5153819 1 19.1629 0.123152
58766.4694444 1 19.0761 0.0749113
58763.4426968 1 19.0353 0.0776142
58759.466088 1 19.0657 0.0875896
58756.4512731 1 19.0017 0.0812782
58750.4477315 1 19.0074 0.096011
58747.5085648 1 18.9122 0.092836
58744.5053009 1 18.826 0.108123
58741.5102315 1 18.7466 0.219794
58738.4456134 1 18.5957 0.131634
58735.4714931 1 18.6043 0.0690675
58732.4474769 1 18.6233 0.067995
58726.4856597 1 18.4774 0.0650264
58723.4857755 1 18.481 0.0594634
