ZTF20aaxcbvg 0.111000 Ia
58987.3150926 2 20.0798 0.174363
58984.4030093 2 19.9152 0.143518
58981.2720255 2 19.7739 0.183715
58978.2955787 2 19.5269 0.17851
58975.3792477 2 19.6298 0.196949
58972.4016088 2 19.6726 0.273928
58972.3694213 2 19.8011 0.172073
58967.3775231 2 20.0468 0.190981
58964.4017477 2 20.48 0.261353
