ZTF18aavqdyq 0.026000 II
58367.2336574 1 20.2615 0.189653
58364.1996412 1 20.2259 0.192305
58361.1733796 1 20.1397 0.171232
58346.3285532 1 19.6891 0.14447
58343.1765162 1 19.6759 0.165353
58336.2410764 1 19.5985 0.127816
58333.1746875 1 19.7483 0.134208
58330.1927662 1 19.7089 0.188194
58323.3811574 1 19.7826 0.21328
58320.204838 1 20.0394 0.205257
58311.3417477 1 20.046 0.161263
58308.2237731 1 20.0629 0.133393
58302.2159606 1 20.177 0.172435
58290.4070718 1 20.2982 0.194303
58284.381794 1 20.1103 0.140521
58281.3871296 1 20.2571 0.134497
58278.369537 1 20.3186 0.140525
