ZTF18abilofa 0.070000 Ia
58349.3583796 1 19.8094 0.131591
58346.3514931 1 19.4491 0.0977953
58343.3794907 1 19.2081 0.129136
58340.3718866 1 18.756 0.164138
58337.3778241 1 18.7221 0.100772
58334.328206 1 18.5599 0.0846255
58325.4196759 1 18.672 0.114345
58322.418912 1 18.8633 0.0672899
58319.4160185 1 19.3288 0.0877933
