ZTF19aazxcvl 0.060000 Ia
58692.1922454 1 20.1459 0.166855
58685.1940972 1 19.6466 0.119369
58682.1761806 1 19.3582 0.113867
58679.2807523 1 19.1041 0.16592
58676.2971412 1 18.9057 0.120712
58673.3010417 1 18.696 0.0835714
58670.1951852 1 18.5244 0.0717226
58667.3234028 1 18.4205 0.0730043
58663.2201736 1 18.3947 0.0688544
58660.1845718 1 18.4568 0.0617868
58657.2001968 1 18.7136 0.0779959
58653.2619907 1 19.3196 0.156578
58650.1998611 1 20.0547 0.291991
