ZTF18abfwuwn 0.100000 Ia
58365.1588194 2 20.2453 0.180018
58362.1563194 2 20.3273 0.167027
58346.1797106 2 19.6402 0.0987741
58343.1600231 2 19.551 0.0954496
58340.1828819 2 19.4864 0.131722
58337.1935417 2 19.3264 0.0885976
58334.1645833 2 19.1461 0.101765
58331.1962384 2 18.9442 0.0870704
58325.2232523 2 18.8257 0.143351
58322.2547338 2 18.9664 0.0811717
58319.2547917 2 19.0869 0.0967291
58314.2158102 2 19.5874 0.0945584
