ZTF20aaqhtcd 0.060000 Ia
58936.296794 1 20.6062 0.3182
58915.4754282 1 18.4739 0.0973996
58914.4717593 1 18.5235 0.116273
58913.5085764 1 18.5458 0.112791
58912.52 1 18.5675 0.0972209
58911.4125116 1 18.6413 0.0936837
58908.3454861 1 18.8155 0.095248
58906.3315625 1 19.0779 0.113212
58905.5180787 1 19.2294 0.168897
58904.4267708 1 19.4319 0.175729
58903.3697917 1 19.9359 0.228093
58900.3817824 1 20.797 0.389919
