ZTF18aajivpr 0.051500 Ia
58980.2430093 2 19.2142 0.0873461
58976.2676273 2 19.1335 0.11795
58974.2656134 2 18.9521 0.110033
58974.2395023 2 19.0471 0.119665
58972.2070718 2 18.9766 0.108583
58971.2002315 2 19.04 0.138018
58971.1641898 2 19.0571 0.110223
58968.1970486 2 18.9269 0.0864961
58965.2763889 2 18.7721 0.062038
58962.2587153 2 18.5312 0.0509348
58956.291412 2 18.2865 0.0559665
58954.2426273 2 18.2973 0.0623742
58944.3507755 2 19.1482 0.170696
