ZTF20aaybqae 0.094000 Ia
58985.3108102 1 19.4931 0.135604
58981.2963657 1 19.35 0.136651
58980.4023958 1 19.2702 0.122455
58979.2674769 1 19.1376 0.157391
58978.3820139 1 19.5691 0.306117
58975.3098611 1 19.6077 0.271093
58975.2709028 1 19.5194 0.344862
58974.4608912 1 19.6926 0.212583
58971.4197106 1 20.5513 0.206748
58970.2964468 1 20.6798 0.276473
