ZTF19acjwqvo 0.049000 Ia
58820.1548843 1 19.8538 0.267267
58811.1801389 1 18.8519 0.11253
58806.1845718 1 18.3889 0.0744826
58803.1805324 1 18.187 0.0716291
58800.1791667 1 18.0104 0.0742179
58798.1524653 1 18.0288 0.0705267
58797.1744676 1 18.0174 0.0685059
58796.1983912 1 18.0875 0.0898538
58795.1764583 1 18.1833 0.0734829
58794.174375 1 18.2452 0.0721249
58791.2555787 1 18.6222 0.0936046
58791.1783796 1 18.6345 0.0813113
