ZTF19abotfag 0.100000 Ia
58732.2987616 1 20.1905 0.207
58726.2426736 1 19.7437 0.175243
58725.3155903 1 19.6324 0.198504
58723.2563773 1 19.4544 0.111162
58719.2400231 1 19.1968 0.15509
58717.3781019 1 19.1194 0.169195
58714.2446875 1 19.0977 0.174451
58707.3990625 1 19.1412 0.186007
58704.3700463 1 19.733 0.187613
