ZTF18acybdar 0.071300 Ia
58526.4412269 1 20.4175 0.214162
58522.4173958 1 20.2757 0.289328
58511.4590394 1 19.504 0.118056
58511.4480556 1 19.5568 0.136423
58508.5388079 1 19.2103 0.181382
58508.5383449 1 19.2725 0.161846
58505.4513773 1 19.3609 0.238409
58502.469213 1 18.7643 0.137136
58502.4565972 1 18.673 0.098696
58494.4935301 1 18.1304 0.0538991
58494.4755093 1 18.1199 0.061683
58491.4732755 1 17.9673 0.0552525
58491.4728125 1 17.9373 0.0591852
58486.5442361 1 17.8315 0.045199
58486.5241088 1 17.858 0.0512577
58480.5175579 1 18.0339 0.0589333
58471.5082292 1 19.7536 0.16218
