ZTF20aauwhyi 0.073200 Ia
58985.2871065 2 20.1085 0.144235
58980.2759491 2 19.7886 0.14869
58978.2826736 2 19.6756 0.194349
58976.3033449 2 19.2567 0.19328
58975.3855324 2 19.4083 0.162162
58974.319838 2 19.3587 0.174163
58974.2783218 2 19.4786 0.173756
58973.3520718 2 19.4111 0.145419
58971.4159954 2 19.435 0.110987
58970.3984491 2 19.3102 0.112976
58968.3585995 2 19.2707 0.106213
58967.3616204 2 19.2382 0.105402
58965.3478472 2 19.2259 0.091883
58964.4072685 2 19.1639 0.113619
58962.3298495 2 18.9203 0.118125
58961.424213 2 18.8913 0.0982901
58956.3497569 2 18.7781 0.0874139
58955.4229167 2 18.8154 0.0808319
58954.4621991 2 18.8086 0.119045
