ZTF19abakdjd 0.060000 Ia
58697.1971528 1 20.0955 0.198424
58694.2222569 1 19.721 0.156076
58691.2162731 1 19.5944 0.121621
58684.1973727 1 18.9014 0.115997
58681.1815394 1 18.5797 0.0945272
58678.2836574 1 18.3339 0.0865345
58675.3091435 1 18.2365 0.0821357
58672.3125347 1 18.1217 0.0608691
58666.2452662 1 18.0683 0.0605779
58660.2015509 1 18.6655 0.0899027
58657.2438426 1 19.3579 0.185711
