ZTF20aalrksw 0.030000 Ia
58986.2723611 2 19.9005 0.126544
58980.3123148 2 19.6734 0.157917
58972.3576736 2 19.5331 0.192029
58966.373125 2 19.401 0.100033
58954.4407176 2 18.8534 0.131285
58915.5051968 2 17.6509 0.048748
58908.4816319 2 17.282 0.0372362
58904.5059375 2 16.9652 0.044601
58899.4989583 2 16.8117 0.038685
58895.5058333 2 16.8997 0.034723
58885.527338 2 18.0684 0.0515093
58881.542963 2 20.0836 0.210274
