ZTF19aapbgmp 0.080000 Ia
58635.4682986 1 20.7461 0.324784
58632.4339699 1 20.477 0.262305
58616.4790394 1 19.8714 0.126663
58612.4096644 1 19.4628 0.0875933
58608.4471065 1 19.16 0.0815197
58605.4939931 1 18.9174 0.123294
58596.5002083 1 18.1221 0.0709998
58587.4921181 1 17.9698 0.0515713
58584.4915046 1 18.1525 0.0628061
