ZTF20aammbrw 0.062970 Ia
58915.2329167 1 19.4169 0.300236
58911.3576042 1 18.8623 0.136604
58905.3128472 1 18.3128 0.119008
58898.3773495 1 18.0747 0.0579906
58895.3808912 1 18.0682 0.0709851
58892.3777546 1 18.2688 0.0966554
58892.3559259 1 18.2776 0.0989364
58888.2737153 1 18.9299 0.299448
58885.4402315 1 19.5856 0.324769
