ZTF19abdkgwo 0.098000 II
58880.1585417 2 19.8335 0.167034
58879.0937963 2 19.6584 0.169695
58877.1355787 2 19.8989 0.176255
58877.1336458 2 19.7418 0.127048
58875.1041204 2 19.7213 0.174985
58874.1386458 2 19.7841 0.1478
58874.1161343 2 19.8343 0.168946
58871.1098611 2 19.8071 0.137845
58871.1035417 2 19.8378 0.180926
58867.1108681 2 19.7877 0.202114
58861.1584144 2 19.6475 0.167318
58861.1569792 2 19.6482 0.189585
58860.1530093 2 19.6499 0.191325
58860.1511343 2 19.5127 0.178807
58859.2153819 2 19.6633 0.238784
58859.2149306 2 19.6371 0.152875
58859.176331 2 19.749 0.198029
58856.1607523 2 19.453 0.137221
58856.1434028 2 19.6004 0.173828
58855.20375 2 19.5661 0.229674
58852.1639005 2 19.4976 0.119836
58850.1229514 2 19.5042 0.209381
58850.1178935 2 19.4523 0.23048
58850.1174421 2 19.6744 0.298199
58849.0770833 2 19.4809 0.117546
58846.1392477 2 19.564 0.131105
58846.133287 2 19.5581 0.157229
58837.0819792 2 19.4846 0.106769
58836.1005671 2 19.3631 0.119443
58836.098287 2 19.5541 0.198054
58833.2846991 2 19.4129 0.193953
58833.2842477 2 19.5201 0.215737
58833.1034491 2 19.4336 0.129332
58833.1011227 2 19.3748 0.113345
58831.0991782 2 19.3867 0.144096
58831.0982407 2 19.3317 0.126978
58830.2815856 2 19.2681 0.15598
58830.2366551 2 19.3121 0.150043
58830.2343287 2 19.5295 0.183337
58819.1529514 2 19.3546 0.105872
58814.2050694 2 19.2644 0.147502
58814.1779977 2 19.1292 0.168477
58812.1997685 2 19.2734 0.126647
58812.195081 2 19.2661 0.103953
58812.1865972 2 19.2591 0.114566
58811.1616088 2 19.4024 0.142527
58811.1527083 2 19.2476 0.119928
58806.2434028 2 19.2526 0.123311
58806.2387731 2 19.2098 0.100254
58804.2271528 2 19.3468 0.19651
58804.2257523 2 19.1024 0.131461
58803.2792593 2 19.237 0.122256
58801.3047222 2 19.2053 0.144252
58801.2417593 2 19.2259 0.165621
58800.2965394 2 19.0471 0.188685
58799.306713 2 19.0127 0.232225
58799.2560417 2 19.1096 0.216636
58798.2473148 2 19.1441 0.146053
58798.2425926 2 19.1156 0.155541
58798.2402894 2 19.1782 0.18353
58797.3281481 2 19.1217 0.126284
58797.3175347 2 19.1131 0.199716
58795.3162847 2 19.1809 0.109144
58795.3153356 2 19.0535 0.12893
58794.3197222 2 19.061 0.109102
58794.3187847 2 19.1982 0.159404
58793.3705208 2 19.2523 0.13129
58792.361875 2 19.2631 0.113767
58792.3614236 2 19.2019 0.123495
58791.3468519 2 19.0757 0.0961756
58791.3454745 2 19.0714 0.119672
58789.2664699 2 19.1126 0.1569
58789.2650463 2 19.0529 0.112525
58788.2796644 2 19.2454 0.149218
58788.2787384 2 19.019 0.127127
58781.2961343 2 19.0412 0.12575
58781.2928356 2 19.0022 0.125855
58778.3308912 2 19.0002 0.102494
58778.3230208 2 18.9976 0.121633
58775.1952546 2 18.8842 0.0827004
58775.1948032 2 19.0166 0.117251
58772.3900463 2 18.8486 0.286683
58772.3895949 2 18.5217 0.206867
58769.3403704 2 18.6893 0.139125
58769.3398495 2 18.9109 0.142488
58763.3382523 2 18.7937 0.0769969
58763.3372801 2 18.8181 0.106164
58759.3673611 2 18.749 0.0833619
58749.3049653 2 18.5424 0.0714745
58749.3040394 2 18.6035 0.102701
58743.3604398 2 18.4485 0.124535
58743.35875 2 18.5072 0.110619
58739.4177431 2 18.3821 0.0813532
58739.4019444 2 18.3627 0.0855728
58736.5047222 2 18.4614 0.0726101
58736.4272917 2 18.3322 0.0571892
58733.4105324 2 18.3294 0.0535704
58733.4083449 2 18.2659 0.0678637
58730.4259722 2 18.2505 0.0544302
58727.488588 2 18.2116 0.043123
58727.4858333 2 18.2575 0.0847134
58724.4125347 2 18.2033 0.056561
58718.4659491 2 18.1267 0.0560407
58718.4649653 2 18.1597 0.068889
58715.4562037 2 18.0995 0.0733321
58715.4419792 2 18.1353 0.0701965
58712.4345023 2 18.1185 0.101723
58712.4266551 2 18.0684 0.0701275
58709.4113542 2 18.0178 0.0706049
58706.4882755 2 18.0417 0.0671591
58703.4499306 2 18.0425 0.0558993
58700.4509491 2 18.0034 0.0469231
58697.4324306 2 17.9733 0.0438491
58694.4959259 2 18.0484 0.0582148
58694.4098495 2 17.9945 0.0535818
58691.4022685 2 18.0354 0.0510018
58688.4247569 2 18.0134 0.0617538
58685.4509259 2 18.0933 0.0513675
58682.4292245 2 18.1684 0.0703152
58679.473287 2 18.2225 0.0627735
58676.4678472 2 18.2951 0.0583841
58673.4525347 2 18.4367 0.0683758
58670.4734954 2 18.7002 0.0702899
58667.4758796 2 19.1616 0.108105
