ZTF19abdyawn 0.041000 Ia
58733.3237384 1 20.6815 0.32407
58712.4664699 1 19.8039 0.251739
58709.47 1 19.7447 0.214857
58706.4249769 1 19.3751 0.109582
58699.4337616 1 18.8628 0.089883
58696.4075116 1 18.5601 0.0740731
58693.3207176 1 18.3356 0.070333
58690.307338 1 18.2099 0.0604564
58686.4664005 1 18.0591 0.0542599
58683.4652894 1 18.1055 0.0622401
58680.4689468 1 18.2816 0.0645791
58677.4533796 1 18.5543 0.0736544
58673.3502431 1 19.3919 0.10814
58670.4273843 1 20.1599 0.163056
58669.4549884 1 20.3067 0.175574
58668.4533912 1 20.6342 0.275122
