ZTF19acbpwwg 0.090000 Ia
58797.0743519 2 19.1302 0.162274
58796.0968981 2 18.8831 0.10156
58795.082419 2 18.9778 0.129368
58794.1006829 2 19.0251 0.127558
58793.1021991 2 19.013 0.13263
58792.1202431 2 19.0081 0.132922
58791.0980093 2 18.9863 0.104455
58790.1202199 2 18.8972 0.099811
58785.1011111 2 18.8369 0.107397
58782.1128009 2 18.6458 0.0764595
58779.0908218 2 18.4156 0.0771186
58770.201713 2 18.2042 0.0724731
58767.1203356 2 18.2392 0.107375
58764.1202431 2 18.389 0.073364
