ZTF20aalrksw 0.030000 Ia
58972.273044 1 19.8655 0.219796
58969.3808912 1 20.0392 0.341957
58963.3753704 1 19.7112 0.137678
58963.2938773 1 19.7129 0.113564
58954.3771065 1 19.565 0.130684
58943.4084259 1 19.3605 0.168046
58911.4362153 1 17.3438 0.0443097
58904.4382523 1 16.9048 0.0421056
58899.5255093 1 16.7551 0.035235
58895.539838 1 16.741 0.0397355
58891.4588889 1 16.9312 0.0389857
58885.4609259 1 17.9761 0.0788484
58881.5032523 1 20.1015 0.157517
