ZTF18acwzxhr 0.026000 II
58987.1685417 2 19.3797 0.125238
58955.2500694 2 19.4496 0.156417
58940.2325116 2 19.0844 0.206712
58904.2496991 2 19.3778 0.135013
58898.3349306 2 19.3806 0.155348
58876.3383681 2 19.5513 0.26722
58873.3301389 2 19.3664 0.17423
58864.3187384 2 19.1821 0.153157
58849.4554167 2 19.442 0.198679
58836.502662 2 19.6362 0.266268
58638.2123495 2 18.9132 0.111437
58606.1888773 2 18.7166 0.106523
58601.2552894 2 18.7674 0.104034
58598.1847454 2 18.7528 0.087232
58586.2125463 2 18.737 0.1376
58583.2578009 2 18.5682 0.1009
58580.2288079 2 18.5994 0.0955177
58572.2729167 2 18.7208 0.204596
58567.2324653 2 18.6099 0.0934992
58559.2518287 2 18.6461 0.118892
58556.2737963 2 18.6062 0.092792
58543.264537 2 18.5381 0.14008
58511.3998958 2 18.5007 0.0722844
58508.4609375 2 18.488 0.141189
58494.4577778 2 18.4434 0.0751419
58487.4345486 2 18.4252 0.0741215
58481.5220139 2 18.3575 0.0870522
58481.4810417 2 18.312 0.0704565
58476.4952431 2 18.248 0.0997435
