ZTF19accjnpz 0.092000 Ia
58806.316875 2 19.8513 0.200661
58803.3140972 2 19.7193 0.227972
58796.3191782 2 19.4693 0.20808
58790.3690278 2 19.5852 0.163019
58784.3922801 2 19.2347 0.247556
58778.457963 2 18.9597 0.113901
58775.3568171 2 18.9042 0.108135
58769.4307176 2 19.0184 0.136991
58766.4820718 2 19.1755 0.12386
58763.4995949 2 19.3912 0.12871
