ZTF18accmkud 0.040000 II
58493.2351389 1 20.0891 0.187097
58488.2482986 1 20.0799 0.147726
58468.4089699 1 19.6916 0.114289
58464.3287037 1 19.6844 0.124973
58450.4535185 1 19.4582 0.131104
58443.504213 1 19.6398 0.191487
58440.4205208 1 19.467 0.165614
58434.4315162 1 19.5267 0.166387
58431.4439699 1 19.4417 0.141525
58430.3518634 1 19.3463 0.102595
