ZTF18acefuhk 0.057000 II
58494.4711574 1 19.8989 0.151507
58491.4433333 1 19.7194 0.206704
58491.4428704 1 19.6014 0.201866
58487.4710185 1 19.421 0.121734
58487.4696412 1 19.4251 0.104747
58486.4247106 1 19.2234 0.20196
58482.4907986 1 19.0787 0.116971
58482.4903241 1 19.0171 0.118262
58480.4883218 1 18.9831 0.130818
58480.4724421 1 18.871 0.124348
58464.4749074 1 18.6785 0.105242
58464.4724884 1 18.7274 0.0722214
58461.4562153 1 18.6897 0.138716
58461.4557523 1 18.8119 0.134379
58450.4984144 1 18.9406 0.092549
58450.4759954 1 18.9333 0.12588
58441.4953241 1 19.3146 0.105713
58441.4948495 1 19.2066 0.131957
58438.4770255 1 19.575 0.104072
58438.4765625 1 19.6299 0.137385
58432.4947338 1 20.0186 0.151652
58432.4754861 1 19.9541 0.183091
58430.3889931 1 20.0462 0.15689
58430.3848264 1 20.2011 0.199052
