ZTF18acqpobb 0.035000 Ia-91T
58580.3016551 1 20.3816 0.184363
58575.3175347 1 20.1898 0.164542
58572.3192361 1 20.0728 0.237296
58567.3088889 1 20.0725 0.346312
58559.3498264 1 19.8269 0.230908
58556.3794792 1 20.0249 0.256391
58547.3751157 1 19.7806 0.151375
58526.4744792 1 19.4763 0.134318
58522.4612616 1 19.5391 0.184393
58522.4379051 1 19.415 0.177397
58511.461412 1 19.2313 0.129851
58507.4842477 1 19.1064 0.192309
58505.4673843 1 19.115 0.197539
58502.4934491 1 19.1358 0.19253
58494.5083449 1 18.9352 0.0779439
58491.5054745 1 18.9057 0.0896863
58486.5544676 1 18.6913 0.0978099
58480.5194676 1 18.4861 0.123474
58471.5152199 1 18.0854 0.0620828
58465.550463 1 17.7005 0.0492151
58442.5097801 1 16.2245 0.0544947
