ZTF19aavqics 0.021500 II
58679.2015162 2 18.38 0.0891378
58676.1960764 2 18.3934 0.116869
58673.2080671 2 18.4112 0.0805389
58662.1773727 2 18.14 0.0952769
58658.1813426 2 17.7752 0.0668581
58653.1875231 2 17.2441 0.0554024
58649.2184722 2 16.8857 0.0383605
58646.2134375 2 16.8074 0.0483815
58642.2146644 2 16.8981 0.0394542
58639.178125 2 17.0082 0.048869
58633.1690278 2 17.8812 0.0762981
