ZTF18adcdcrd 0.049870 Ia
58909.2063079 1 19.0622 0.186307
58906.1478704 1 18.7865 0.090034
58903.2471181 1 18.5743 0.0910726
58899.208287 1 18.3116 0.082913
58899.1898032 1 18.3335 0.085223
58898.183669 1 18.2859 0.073852
58896.1895139 1 18.2192 0.0656227
58893.2079861 1 18.1522 0.0876687
58890.2525347 1 18.2533 0.0986249
58887.2133449 1 18.3864 0.138938
58884.2537269 1 18.8685 0.192482
58881.2268519 1 19.0607 0.174306
58879.2031366 1 19.6782 0.21634
