ZTF18acclexy 0.080000 Ia
58791.3565856 2 20.0801 0.191098
58766.4935069 2 20.2162 0.237803
58763.3741319 2 20.3863 0.269657
58464.2785301 2 19.5629 0.143309
58461.262581 2 19.4203 0.119248
58457.1825579 2 19.6099 0.163337
58456.2017245 2 19.4398 0.1272
58455.3037384 2 19.3859 0.14333
58447.3553356 2 18.8298 0.150851
58441.3035417 2 18.7104 0.103696
58437.2972222 2 18.654 0.0801423
58434.3084838 2 18.6488 0.0985466
58431.2758333 2 18.74 0.136657
58428.2556481 2 19.0766 0.0966867
