ZTF19abfibel 0.045290 Ia
58750.3587384 1 20.7426 0.34529
58736.4760648 1 20.9614 0.298046
58733.4562616 1 20.8655 0.266864
58730.4692477 1 20.6863 0.343003
58726.4406481 1 20.4191 0.233719
58723.4387384 1 20.429 0.177167
58717.4049421 1 19.9575 0.243136
58709.461713 1 19.34 0.131671
58706.4194213 1 19.1318 0.103278
58703.4988542 1 18.8325 0.090357
58699.4786111 1 18.5218 0.0759633
58696.4407639 1 18.2471 0.071957
58693.4266898 1 18.0296 0.0754664
58690.463912 1 17.939 0.0492962
58682.4834606 1 17.7603 0.0668442
58679.4493056 1 17.9625 0.0806695
58673.4751505 1 18.989 0.108405
58670.4569444 1 20.6233 0.326473
