ZTF20aaxmtxg 0.100215 Ia
58985.2871065 2 18.9505 0.0879101
58981.2884954 2 18.8576 0.0963337
58980.2759491 2 18.8319 0.0855804
58979.3196296 2 18.9791 0.112611
58978.2826736 2 18.9946 0.115989
58977.402419 2 18.6435 0.176604
58976.3185995 2 19.0221 0.182331
58976.3033449 2 19.2508 0.243795
58975.3855324 2 19.2572 0.163515
58974.319838 2 19.407 0.166406
58974.2783218 2 19.4294 0.149598
58973.3520718 2 19.4606 0.168585
58971.4159954 2 19.6906 0.149977
58970.3984491 2 20.0056 0.180871
