ZTF18abqdadp 0.039550 Ia
58387.1836806 1 17.6959 0.118813
58381.1716551 1 17.1519 0.0435843
58373.2049074 1 16.7208 0.0374433
58369.2278472 1 16.7043 0.0461132
58369.2273843 1 16.6978 0.0391461
58366.2074074 1 16.8224 0.045136
58365.216088 1 16.9061 0.0418975
58363.1537037 1 17.1261 0.0598667
58362.2125116 1 17.2845 0.0615773
58360.1380787 1 17.6726 0.0616251
