ZTF20aanvsds 0.075000 Ia
58915.4698843 1 19.0244 0.186211
58913.5322106 1 18.9597 0.113583
58912.5340741 1 18.8613 0.0864036
58911.531331 1 18.7106 0.113798
58908.5526736 1 18.6566 0.0863478
58908.5526736 1 18.6566 0.086348
58906.5266319 1 18.5763 0.116367
58905.5297801 1 18.5143 0.122402
58904.5589815 1 18.6044 0.128951
58900.5401389 1 18.8393 0.167404
58899.5376042 1 18.9947 0.117386
58898.5574537 1 19.1348 0.131969
58894.5523611 1 20.0807 0.251173
