ZTF20aaactgu 0.065000 Ia
58894.136331 2 18.8205 0.0779493
58891.1178009 2 18.813 0.0755898
58887.1126852 2 18.7112 0.0973646
58884.1407292 2 18.6589 0.132646
58881.100625 2 18.5864 0.0661983
58880.1590046 2 18.5957 0.0743794
58874.1156713 2 18.1612 0.0575279
58871.1045139 2 18.057 0.0534312
58861.1805324 2 18.101 0.077871
58860.1521065 2 18.1545 0.0672218
58859.2214583 2 18.2723 0.0731173
58859.1636343 2 18.1789 0.0583315
58852.1643634 2 19.286 0.090577
58849.1515856 2 20.2123 0.166432
