ZTF19acytidb 0.031000 Ia
58905.3083102 1 19.4676 0.120508
58903.3134954 1 19.6834 0.158102
58899.4216667 1 19.4376 0.121423
58894.3193171 1 19.2929 0.119123
58883.4616204 1 18.9437 0.1238
58877.3943287 1 18.9001 0.092897
58874.3778588 1 18.5641 0.0936619
58871.4362847 1 18.3712 0.0779
58866.4006019 1 17.7239 0.0477115
58859.526875 1 17.1005 0.0427672
58852.5037616 1 16.6234 0.0273478
58846.5209259 1 16.5298 0.0266132
58837.5154051 1 17.0815 0.0309162
