ZTF19acbykmk 0.061000 Ia
58804.2306019 2 18.6479 0.173126
58801.2309144 2 18.7111 0.121953
58792.1680208 2 18.5202 0.0835153
58785.2918287 2 18.3828 0.0955453
58781.289838 2 18.0817 0.0841298
58778.3145949 2 17.9896 0.0900064
58769.3353704 2 17.855 0.0842563
58765.35625 2 17.9983 0.0868875
58761.3351157 2 18.382 0.0741128
58758.2928472 2 18.973 0.111671
